classification,category,Exams,Exam Name,Extract Text,Question Text,Choice A,Choice B,Choice C,Choice D,Choice E,Choice F,Choice G,Correct Answer,Rationale,Image URL,Question Type,Heading
High School Exams,General Educational Development (GED),GED Mathematical Reasoning Exams,Free GED Math Practice Test,,"Acceleration, a, in meters per second squared (m/s²), is found by the formula a = (V2 - V1)/t where V1, is the beginning velocity, V2 is the end velocity, and t is time. What is the acceleration, in m/s², of an object with a beginning velocity of 14 m/s and end velocity of 8 m/s over a time of 4 seconds?",1.5,-1.5,4.5,-12,,,,B,"<h2>The cost of producing 50 microscopes is $825.</h2>
To determine the cost of producing 50 microscopes, we substitute x = 50 into the given equation C(x) = 300 + 10.5x. This calculation yields a total cost of $825 for manufacturing 50 microscopes.

<b>A) $41,250</b>
This value is not the correct cost for producing 50 microscopes. The given equation indicates a linear relationship between the number of microscopes produced and the total cost, resulting in a much lower cost than $41,250 for 50 microscopes.

<b>B) $360.50</b>
This amount does not represent the cost of producing 50 microscopes according to the provided cost function. Plugging in x = 50 into C(x) = 300 + 10.5x results in a significantly different cost value compared to $360.50.

<b>C) $15,525</b>
This cost does not align with the calculated cost of producing 50 microscopes using the given cost equation. Substituting x = 50 into C(x) = 300 + 10.5x leads to a total cost that is not equal to $15,525.

<b>D) $825</b>
This is the correct cost of producing 50 microscopes based on the provided equation C(x) = 300 + 10.5x. Substituting x = 50 into this equation yields a cost of $825 for manufacturing 50 microscopes.

<b>Conclusion</b>
The cost of producing 50 microscopes can be accurately determined by substituting the value of x into the given cost function. In this case, the correct answer is $825, as calculated using the equation C(x) = 300 + 10.5x. This approach allows for precise cost estimation in relation to the quantity of microscopes produced by the company.",,Regular,
High School Exams,General Educational Development (GED),GED Mathematical Reasoning Exams,Free GED Math Practice Test,,A store manager recorded the total number of employee absences for each day during one week. What is the mode of the number of employee absences for that week?,6,8,9,14,,,,B,"<h2>x=-54/7</h2>
To solve this equation, you need to combine like terms and isolate the variable x. By first subtracting ½x from both sides and then adding 9 to both sides, you can simplify the equation to find x.

<b>A) x=-9/7</b>
This answer choice results from miscalculating the steps in solving the equation, leading to an incorrect value for x. Double-check the algebraic manipulations to identify the error.

<b>B) x=-54/7</b>
Correct! By following the correct steps in solving the equation, you should arrive at this value for x. Make sure to verify the calculations to confirm this solution.

<b>C) x=-6</b>
This option is incorrect as it does not correspond to the solution obtained by correctly solving the equation. Review the steps taken to find x to understand where the mistake lies.

<b>D) x=-54</b>
This choice provides a different value for x, which does not align with the correct solution derived from solving the equation. Revisit the arithmetic operations to determine the correct value.

<b>Conclusion</b>
In solving the given equation, the correct answer is x=-54/7. Ensuring accuracy in the algebraic steps is crucial to obtaining the right solution. Remember to carefully combine like terms and perform the necessary operations to isolate the variable x and determine its value accurately.",m-79.png,Regular,
High School Exams,General Educational Development (GED),GED Mathematical Reasoning Exams,Free GED Math Practice Test,,"Acceleration, a, in meters per second squared (m/5}), is found by the formula a= (V2-V2)/t where V1, is the beginning velocity, V2 is the end velocity, and t is time. What is the acceleration, in m/s², of an object with a beginning velocity of 14 m/s and end velocity of 8 m/s over a time of 4 seconds?",1.5,-1.5,4.5,-12,,,,B,"<h2>The slope of the line represented by the table is -2.</h2>
The slope of a line is calculated by determining the ratio of the vertical change (change in y-coordinates) to the horizontal change (change in x-coordinates) between any two points on the line.

<b>A) -4</b>
This choice represents a slope that is different from the correct answer. A slope of -4 would indicate a steeper line compared to a slope of -2, implying a faster rate of change between points on the line.

<b>B) -2.5</b>
Similarly, a slope of -2.5 is not the correct answer. This value would also result in a line with a different steepness compared to a slope of -2, leading to a distinct visual representation on a graph.

<b>D) -0.5</b>
A slope of -0.5 differs from the correct answer. This value would indicate a shallower line compared to a slope of -2, suggesting a slower rate of change between points on the line.

<b>Conclusion</b>
The correct slope of the line represented by the table is -2. This value signifies the consistent rate of change between points on the line, reflecting a specific inclination that aligns with the data points provided in the table. Understanding slope is crucial in analyzing the relationship between variables in linear equations and graphing them accurately for interpretation and prediction purposes.",,Regular,
High School Exams,General Educational Development (GED),GED Mathematical Reasoning Exams,Free GED Math Practice Test,,Select the factors for the following expression 2x² - xy - 3y^2,(2x+3y)(x-y),(x+y)(2x-3y),(2x-y)(x+3y),(2x-3y)(x+y),,,,D,"<h2>Larry bought 6 more tickets than Jim.</h2>
In this scenario, the difference in the number of tickets purchased by Larry and Jim amounts to 6, indicating that Larry acquired a larger quantity by this margin.

<b>A) 3</b>
This option does not align with the actual situation presented in the question, where Larry's ticket purchases exceed Jim's by a greater number than 3. Therefore, this choice is incorrect.

<b>B) 12</b>
While this option suggests a significant disparity in ticket quantities, the correct difference between Larry and Jim's ticket purchases is not as large as 12. Thus, this choice does not accurately reflect the scenario described.

<b>C) 6</b>
Larry bought 6 more tickets than Jim, making this the correct answer in accordance with the information provided in the question.

<b>D) 1</b>
Contrary to the actual scenario where Larry's ticket purchases exceed Jim's by 6 tickets, this choice indicates a much smaller difference of only 1 ticket. Hence, this option does not correspond to the situation outlined in the question.

<b>Conclusion</b>
Larry's purchase of 6 more tickets than Jim accurately reflects the difference in their ticket acquisitions as described in the question. This distinction highlights the importance of paying attention to specific details within a scenario to arrive at the correct answer, emphasizing the significance of numerical accuracy in problem-solving contexts.",,Regular,
High School Exams,General Educational Development (GED),GED Mathematical Reasoning Exams,Free GED Math Practice Test,,"Daniel is planning to buy his first house. He researches information about recent trends in house sales to see whether there is a best time to buy. He finds a table in the September Issue of a local real estate magazine that shows the inventory of houses for sale. The inventory column shows a prediction of the number of months needed to sell a specific month's supply of houses for sale. The table also shows the median sales price for houses each month.
 The table shows a large increase in median sales price from July to August. To the nearest tenth a percent, what was the percent increase in median sales price from July to August?",15.8,6.2,14.2,6.7,,,,C,"<h2>Robert can use a maximum of 235 kilowatt hours of electricity without going over his monthly budget amount.</h2>
To determine the maximum number of kilowatt hours Robert can use, we need to solve the inequality 0.1116x + 23.77 ≤ 50, where x represents the kilowatt hours used. By rearranging the inequality and isolating x, we can find the maximum value within the budget constraint.

<b>A) 661</b>
Incorrect. If Robert used 661 kilowatt hours, the total cost for electricity alone would exceed his $50 monthly budget.

<b>B) 235</b>
Correct. By plugging in x = 235 into the inequality, we get 0.1116(235) + 23.77 = 49.997 ≤ 50. Since 49.997 is less than 50, Robert can use 235 kilowatt hours without exceeding his budget.

<b>C) 448</b>
Incorrect. If Robert used 448 kilowatt hours, the total cost for electricity would exceed his $50 monthly budget.

<b>D) 424</b>
Incorrect. If Robert used 424 kilowatt hours, the total cost for electricity would exceed his $50 monthly budget.

<b>Conclusion</b>
Robert can use a maximum of 235 kilowatt hours of electricity in a month without surpassing his $50 budget when considering the basic water and sewer charge along with the electricity cost per kilowatt hour. This calculation ensures that Robert stays within his financial limit while meeting his utility needs efficiently.",m-10.png,Regular,
High School Exams,General Educational Development (GED),GED Mathematical Reasoning Exams,Free GED Math Practice Test,,"On Monday; Alicia buys x shirts at $8 each and y slacks at $25 each. On Wednesday, Alicia returns 2 pairs of slacks. Which expression represents the total value of her purchases?",8x + 23y,8x + 25(y - 2),8x - 2) + 25y,8x + 25y - 2,,,,B,"<h2>Correct Answer: B</h2>
To find the total weight of red blood cells in the sample, you multiply the weight of a single red blood cell by the number of red blood cells in the sample. In this case, multiplying 4.5 × 10^(-11) grams by 1.6 × 10^10 red blood cells gives a total weight of 7.2 × 10^(-4) grams.

<b>A) 2.9 × 10^18</b>
This value is not the correct answer because it does not align with the calculation for determining the total weight of red blood cells in the given sample. Multiplying the weight of a single red blood cell by the number of cells should result in a value with a negative exponent due to the very small individual cell weight.

<b>C) 7.2 × 10^(-77)</b>
This option is incorrect as the exponent value is significantly lower than what is expected when multiplying the weight of a single red blood cell by the number of cells in the sample. The total weight should reflect the sum of the two exponents, resulting in a more substantial value.

<b>D) 6.1 × 10^(-4)</b>
The given weight for the red blood cell multiplied by the number of cells would not yield this answer. It does not correspond to the correct calculation for determining the total weight of red blood cells in the sample.

<b>Conclusion</b>
By correctly applying the principles of scientific notation and multiplication, the total weight of red blood cells in the sample can be accurately determined. In this scenario, the multiplication of the weight of an individual red blood cell by the total number of cells results in a total weight of 7.2 × 10^(-4) grams, showcasing the significance of understanding and utilizing scientific notation in scientific calculations.",,Regular,
High School Exams,General Educational Development (GED),GED Mathematical Reasoning Exams,Free GED Math Practice Test,,Factor the expression completely: -3x - 21,-3(x+7),-3(x-21),-3(x-7),-3(x+21),,,,A,"<h2>The equation, in standard form, of the line passing through the points (-3, -4) and (3, -12) is 4x + 3y = -24.</h2>
To determine the equation of a line passing through two points, we can use the point-slope form and then convert it to standard form. By substituting the given coordinates into the point-slope form and manipulating the equation, we arrive at the standard form representation of the line.

<b>A) 4x + 3y = 24</b>
This equation does not pass through the given points, as substituting either (-3, -4) or (3, -12) does not satisfy the equation. Therefore, it does not represent the line in question.

<b>B) 3x + 4y = -25</b>
Similar to choice A, this equation does not correspond to the line passing through the provided points, indicating an incorrect representation of the relationship between x and y coordinates.

<b>C) 4x + 3y = -24</b>
Substituting the coordinates (-3, -4) and (3, -12) into this equation results in both pairs satisfying the equation, making this the correct representation of the line passing through the points given.

<b>D) 3x + 4y = -39</b>
Upon substituting the coordinates (-3, -4) and (3, -12) into this equation, neither pair satisfies the equation, indicating that this is not the correct equation for the line in consideration.

<b>Conclusion</b>
The equation of a line passing through specific points can be determined by leveraging the point-slope form and converting it to standard form. In this case, the equation 4x + 3y = -24 accurately represents the line passing through the points (-3, -4) and (3, -12) by satisfying both sets of coordinates. This method allows for precise determination of linear relationships between points in a Cartesian plane.",,Regular,
High School Exams,General Educational Development (GED),GED Mathematical Reasoning Exams,Free GED Math Practice Test,"Excerpt from The Musician's Daughter
by Susanne Dunlap
I thought a lot, at the beginning, about my father playing the violin. I still remember the first time I ever saw a concert. I was very small, and we had just come to Esterhaza, a magnificent palace in Sopron, Hungary, when the prince's household moved there from his winter palace, at Eisenstadt, near Vienna. I think it may have been the first concert Papa took part in there. I had a new dress for the occasion, and Mama looked beautiful. I don't think Toby was born yet, or if he was, he was a small baby and stayed in our rooms with a nurse.
The palace at EsterhÃ¡za was so new that it still smelled of raw wood and paint. The rooms were very grand. I had never seen so many candles in one place before. And they were expensive wax candles, not foul-smelling tallow. We stood to the side to watch the fine ladies enter. I thought they looked like dolls; their faces were so perfect. Later my mother told me that they painted them with white lead to make their skin artificially smooth and pale, and then rubbed rouge into their cheeks and lips, and drew lines of charcoal around their eyes so they would appear larger. And the headdresses-in those days the fashion was to have hair that towered up, stuck into place with diamond combs, with ribbons and pearls festooned around. And no matter what color it was naturally, ladies powdered their hair to snowy whiteness, so that the light of the candies was magnified by the glow from the people themselves.
And the men, too, were powdered and patched. Their gold buttons and lace were almost as gaudy as the ladies' finery. But the enormous panniers that held the ladies' skirts out to the side so far that they had to move sideways through doorways fascinated me most of all. I could barely be persuaded to turn my eyes to the orchestra when the concert started.
We were not seated with the guests. In fact, I think we were tucked away in an anteroom. The door was open so we could see through, and everyone pushed me forward to let me watch my father, who looked up now and again from the music and gave me a quick smile. The candlelight danced over the rich wood of his violin, the beautiful Italian instrument, an old Amati, that my grandfather had given him. Kapellmeister Haydn-who was also my godfather-sat at the harpsichord, smiling broadly all the time, waving one hand in the air to direct, then putting it back on the keys and instead using his head, bobbing and nodding to bring the winds in, or to indicate the entrance for the cellos. He looked like the music, 1 remember thinking. I wish I could bring that particular sound to my mind, but it has since blended with countless, other concert. I'll always remember what it looked like, though. The light shimmering glow of everything and everyone.",Which expression is undefined over the real numbers?,(-3)^0,0/4,|-2|,(-7)^(1/2),,,,D,"<h2>The sentence would describe the size of the room but not their magnificence.</h2>
The adjective 'grand' not only refers to the size of the rooms but also conveys a sense of opulence, elegance, and magnificence. If replaced with 'large', the sentence would only communicate the size of the rooms, losing the aspect of their grandeur and luxuriousness.

<b>A) The sentence would describe the size of the room but not their magnificence.</b>
This is the correct choice. The word ""grand"" in the context of the sentence implies both size and magnificence. Replacing it with ""large"" would strip the sentence of its implication of magnificence, resulting in a sentence that describes only the size of the rooms.

<b>B) The sentence would provide information about the historical period in which these rooms were used.</b>
This is incorrect because neither ""grand"" nor ""large"" directly provides information about the historical period. These words describe the size and quality of the rooms, but not the era they were used in.

<b>C) The sentence would offer insight into the particular decorations of the rooms but not the dimensions.</b>
This is not accurate. The word ""large"" does not provide any information about the decorations of the rooms. It only refers to the size of the rooms, not their decor. 

<b>D) The sentence would refer to the number of people the rooms would accommodate.</b>
While the word ""large"" could theoretically imply that a room could accommodate more people, this is not the primary meaning conveyed in the context of the sentence. Therefore, this choice is incorrect.

<b>Conclusion</b>
In the context of the sentence, the word ""grand"" conveys both the size and magnificence of the rooms at Esterhaza. Replacing ""grand"" with ""large"" would reduce the sentence's meaning to only describing the size of the rooms, losing the implication of their opulence and grandeur. The other choices incorrectly interpret the effects of this word replacement and therefore are not the correct answer.",,Regular,
High School Exams,General Educational Development (GED),GED Mathematical Reasoning Exams,Free GED Math Practice Test,,"The owner of a small cookie shop is examining the shop's revenue and costs to see how she can increase profits. Currently, the shop has expenses of $41.26 and $0.19 per cookie.
 The shop's revenue and profit depend on the sales price of the cookies. The daily revenue is given in the graph below, where x is the sales price of the cookies and y is the expected revenue at that price.
 The owner has decided to take out a loan to purchase updated equipment. A bank has agreed to loan the owner $2,000 for the purchase of the equipment at a simple interest rate of 4.69% payable annually.
 To the nearest dollar, what is the total amount the shop owner will pay on the loan over the 3 years?","$2,028","$2,276","$2,760","$2,092",,,,B,"<h2>x ? -40</h2>
To solve the given inequality (1/8)x ≤ (1/2)x + 15, we need to isolate the variable x. By subtracting (1/8)x from both sides, we find that (1/8)x - (1/2)x ≤ 15 simplifies to (-3/8)x ≤ 15. Multiplying by -8/3 to get x alone, we get x ≥ -40.

<b>A) x ? -24</b>
This choice suggests x is less than -24, which is incorrect based on the solution to the given inequality where x is greater than or equal to -40.

<b>B) x ? -40</b>
This choice is the same as the correct answer and correctly identifies x as less than or equal to -40, matching the solution derived from the inequality.

<b>C) x ? -40</b>
This choice aligns with the correct solution obtained from solving the inequality, stating that x is less than or equal to -40.

<b>D) x ? -24</b>
This option incorrectly indicates that x is less than -24, contrary to the solution where x is greater than or equal to -40.

<b>Conclusion</b>
The correct answer to the inequality (1/8)x ≤ (1/2)x + 15 is x ? -40. By following the steps to isolate x in the inequality expression, we find that x must be less than or equal to -40 to satisfy the given inequality. This solution is in accordance with the mathematical manipulation required to solve such inequalities, demonstrating a clear understanding of the concepts involved.",m-65.png,Regular,
High School Exams,General Educational Development (GED),GED Mathematical Reasoning Exams,Free GED Math Practice Test,,"The equation d/f = g represents gallons of gasoline used, g, in terms of distance traveled in miles, d, and fuel efficiency, / miles per gallon of gasoline. Which combination of distance traveled and fuel efficiency uses 3 gallons of gasoline?",7 miles and 21 miles per gallon,57 miles and 19 miles per gallon,23 miles and 20 miles per gallon,32 miles and 35 miles per gallon,,,,B,"<h2>The handyman's hourly rate is $25.</h2>
The graph illustrates the handyman's fees as a function of hours worked, consisting of a fuel charge and an hourly rate component. By examining the graph, we can identify the specific value corresponding to the hourly rate.

<b>A) $5</b>
This option presents a significantly lower hourly rate than what the graph indicates. A rate of $5 per hour would not align with the overall fee structure shown in the graph, suggesting an incorrect choice.

<b>B) $55</b>
The hourly rate represented by $55 does not correspond to the data displayed in the graph. Such a high hourly rate would result in fees much higher than what is depicted, making this option inconsistent with the visual information provided.

<b>C) $30</b>
While $30 is a reasonable hourly rate, it does not match the data exhibited in the graph. Choosing this rate would lead to a different fee structure than what is visually represented, making it an inaccurate selection based on the graph.

<b>D) $25</b>
The correct choice, $25 per hour, aligns with the data shown in the graph for the handyman's fees. This hourly rate is supported by the fee curve displayed, indicating that $25 is the appropriate value for the handyman's rate per hour.

<b>Conclusion</b>
By analyzing the graph illustrating the handyman's fees in relation to hours worked, the correct hourly rate can be determined to be $25. This choice is consistent with the visual representation of the fee structure, highlighting the importance of interpreting graphical data accurately to derive the correct answer.",,Regular,
