classification,category,Exams,Exam Name,Extract Text,Question Text,Choice A,Choice B,Choice C,Choice D,Choice E,Choice F,Choice G,Correct Answer,Rationale,Image URL,Question Type,Heading
Nursing Exams,HESI A2,Anatomy and Physiology,Free HESI A2 Anatomy and Physiology Practice Questions,,What is the cause of the burning sensation associated with anaerobic respiration?,Carbon dioxide,Lactic acid,Oxygen,Glucose,,,,B,"The burning sensation associated with anaerobic respiration is caused by the buildup of lactic acid in muscles. When oxygen supply to tissues is insufficient, the body produces lactic acid. During intense exercise when the oxygen demand exceeds supply, lactic acid accumulates, leading to the burning sensation. Therefore, lactic acid is responsible for the burning sensation experienced in anaerobic respiration.",,Regular,
Nursing Exams,HESI A2,Anatomy and Physiology,Free HESI A2 Practice Test Anatomy and Physiology,,Which structure of the nervous system carries action potential in the direction of a synapse?,cell body,axon,neuron,myelin,,,,B,"The correct answer is B: axon. The axon is a long, slender projection of a neuron that conducts electrical impulses away from the neuron's cell body towards other neurons or target cells, such as muscles or glands, including towards a synapse. The cell body contains the nucleus and other organelles but does not carry action potentials. While a neuron is the overall structural and functional unit of the nervous system, the axon is specifically responsible for transmitting action potentials.",,Regular,
Nursing Exams,HESI A2,Anatomy and Physiology,Free HESI A2 Anatomy Practice Test,,Which type of cholesterol is considered the best for health?,LDL,HDL,VLDL,VHDL,,,,B,"High-density lipoprotein (HDL) is considered the best type of cholesterol for health. HDL helps remove excess cholesterol from the bloodstream, reducing the risk of heart disease. Conversely, low-density lipoprotein (LDL) is often referred to as 'bad' cholesterol as it can lead to plaque buildup in arteries. Very low-density lipoprotein (VLDL) and very high-density lipoprotein (VHDL) are not commonly used terms in cholesterol classification.",,Regular,
Nursing Exams,HESI A2,Anatomy and Physiology,Free HESI A2 Practice Test Anatomy,,What organelle contributes to phagocytosis in white blood cells?,ER,Lysosomes,Vacuole,Golgi apparatus,,,,B,"Lysosomes play a crucial role in phagocytosis within white blood cells. Lysosomes contain enzymes that aid in the digestion of foreign particles and cellular debris, making them essential for the process of phagocytosis. The other organelles listed, such as the endoplasmic reticulum (ER), vacuole, and Golgi apparatus, do not directly contribute to phagocytosis within white blood cells.",,Regular,
Nursing Exams,HESI A2,Anatomy and Physiology,Free HESI A2 Anatomy and Physiology Practice Questions,,"During digestion, what does the stomach muscle churn and mix food into, turning it into a soupy substance known as which of the following?",Bolus,Bile,Chyme,Feces,,,,C,"The correct answer is C: Chyme. During digestion, the stomach muscle contracts and mixes food with digestive juices, breaking it down into a thick, soupy liquid called chyme. This chyme is then slowly released into the small intestine for further digestion and absorption of nutrients.",,Regular,
Nursing Exams,HESI A2,Anatomy and Physiology,Free HESI A2 Practice Test Anatomy and Physiology,,"When assessing a female patient who describes herself as a strict vegetarian, the nurse notes that she has a yellow tone to her skin. The nurse should ask the client if she has eaten large amounts of which foods?",Carrots and squash.,Turnips and beets.,Rice and eggs.,Spinach and mustard greens.,,,,A,,,Regular,
Nursing Exams,HESI A2,Anatomy and Physiology,Free HESI A2 Anatomy Practice Test,,Which structure regulates the transport of substances in and out of a cell?,Nuclear membrane.,Cell's cytoplasm.,Cell membrane.,Cell wall.,,,,C,,,Regular,
Nursing Exams,HESI A2,Anatomy and Physiology,Free HESI A2 Practice Test Anatomy,,Which of the following epithelial types is correctly matched with its major function?,Simple squamous epithelium  -  secretion or absorption,Stratified squamous epithelium  -  changes shape when stretched,Stratified squamous epithelium  -  diffusion,Simple columnar epithelium  -  secretion or absorption,,,,D,"The correct answer is D. Simple columnar epithelium is matched correctly with its major function of secretion or absorption. Simple squamous epithelium is best suited for diffusion due to its thin structure, while stratified squamous epithelium is mainly for protection against mechanical stress and pathogens. Stratified squamous epithelium does not function primarily in diffusion. Therefore, understanding the structure and function relationship of different epithelial types is crucial for correctly identifying their major functions.",,Regular,
Nursing Exams,HESI A2,Anatomy and Physiology,Free HESI A2 Anatomy and Physiology Practice Questions,,Which structure is part of both the male reproductive system and urinary system?,Epididymis,Ureter,Testis,Urethra,,,,D,"The correct answer is D, Urethra. The urethra is a structure shared by both the male reproductive and urinary systems. It serves as a passage for urine to exit the body and for semen during ejaculation. The Epididymis, Testis, and Ureter are not structures that are part of both systems. The Epididymis is involved in sperm maturation, the Testis is responsible for sperm production, and the Ureter transports urine from the kidneys to the bladder.",,Regular,
Nursing Exams,HESI A2,Anatomy and Physiology,Free HESI A2 Practice Test Anatomy and Physiology,,What are groups of like cells called?,Membrane,System,Organ,Tissue,,,,D,"Groups of like cells are called tissues. Tissues consist of cells with similar structures and functions that work together to perform specific functions in an organism. Examples of tissues include muscle tissue, nerve tissue, and epithelial tissue.",,Regular,
