classification,category,Exams,Exam Name,Extract Text,Question Text,Choice A,Choice B,Choice C,Choice D,Choice E,Choice F,Choice G,Correct Answer,Rationale,Image URL,Question Type,Heading
College Exams,Graduate Management Admission Test GMAT,GMAT Quantitative Reasoning Exams,Quantitative Reasoning GMAT,,"The product of which of the following pairs of numbers is closest to 5,678?",5 and 990,6 and 900,6 and 950,7 and 800,7 and 850,,,C,"<h2>6 and 950 produce a product closest to 5,678.</h2>  
Multiplying 6 by 950 gives 5,700, which is only 22 away from 5,678, making it the closest product among the provided options.

<b>A) 5 and 990</b>  
Calculating the product of 5 and 990 results in 4,950. This value is 728 less than 5,678, placing it further from the target compared to other options.

<b>B) 6 and 900</b>  
The product of 6 and 900 is 5,400. This result is 278 less than 5,678, which makes it closer than option A but still not as close as option C.

<b>C) 6 and 950</b>  
As mentioned, multiplying 6 by 950 yields 5,700, which is just 22 away from 5,678. This is the closest product of all the choices, confirming it as the correct answer.

<b>D) 7 and 800</b>  
The product of 7 and 800 is 5,600. This result is 78 less than 5,678, making it a reasonable option, but still further from the target compared to option C.

<b>E) 7 and 850</b>  
Calculating the product of 7 and 850 results in 5,950. This value is 272 greater than 5,678, placing it further away from the desired number than any other option.

<b>Conclusion</b>  
Among the pairs of numbers provided, the multiplication of 6 and 950 results in a product of 5,700, the closest to the target of 5,678. Other combinations yield products that are either significantly higher or lower, making option C the optimal choice for this question.",,Regular,
College Exams,Graduate Management Admission Test GMAT,GMAT Quantitative Reasoning Exams,Gmat Quantitative Reasoning Practice Questions,,"Chairs are to be arranged in a school gymnasium so that the number of chairs in each row will be 8 greater than the number of rows. If a total of 660 chairs are to be arranged in this fashion, how many rows of chairs will there be?",12,22,26,30,55,,,B,"<h2>There will be 22 rows of chairs.</h2>  
To find the number of rows, we can set up an equation based on the problem's description. Let the number of rows be represented by \( r \). Then the number of chairs in each row will be \( r + 8 \). The total number of chairs is given by the equation \( r \times (r + 8) = 660 \). Solving this quadratic equation yields \( r = 22 \).

<b>A) 12</b>  
If there are 12 rows, then the number of chairs per row would be \( 12 + 8 = 20 \), leading to a total of \( 12 \times 20 = 240 \) chairs. This total is significantly less than 660, making this option incorrect.

<b>B) 22</b>  
With 22 rows, the number of chairs in each row would be \( 22 + 8 = 30 \). Multiplying gives a total of \( 22 \times 30 = 660 \) chairs, which matches the requirement perfectly, confirming this choice as correct.

<b>C) 26</b>  
For 26 rows, the number of chairs per row would be \( 26 + 8 = 34 \). The total would be \( 26 \times 34 = 884 \) chairs, which exceeds 660, thus making this option invalid.

<b>D) 30</b>  
If there are 30 rows, then the chairs per row would be \( 30 + 8 = 38 \), resulting in \( 30 \times 38 = 1140 \) chairs. This is also much greater than 660, ruling this option out.

<b>E) 55</b>  
With 55 rows, the chairs per row become \( 55 + 8 = 63 \). The total would then be \( 55 \times 63 = 3465 \) chairs, which is far too high compared to 660, making this choice incorrect.

<b>Conclusion</b>  
Through the setup of a quadratic equation based on the relationship between rows and chairs, we determined that 22 rows lead to the correct arrangement of 660 chairs. Other options either result in totals that are too low or too high, affirming the uniqueness of the solution found.",,Regular,
College Exams,Graduate Management Admission Test GMAT,GMAT Quantitative Reasoning Exams,Gmat Quantitative Reasoning Practice,,"The list shown gives the number of movies that each of six of Sam's friends saw last year: 12, 17, 9, 11, 12, 14. Sam's sister Lucy saw 7 fewer movies last year than Sam did. The range of the numbers of movies that Sam, Lucy, and each of the six friends saw last year was 10. Which of the following could be the number of movies that Sam saw last year?",14,15,16,17,18,,,A,"<h2>Sam could have seen 14 movies last year.</h2>  
Given that the range of the number of movies seen by Sam, Lucy, and his six friends is 10, the maximum and minimum values in the combined dataset must be 10 units apart. If Sam saw 14 movies, Lucy would have seen 7 fewer, totaling 7 movies, which fits within the range established by the friends' counts.

<b>A) 14</b>  
If Sam saw 14 movies, then Lucy would have seen 7 movies (14 - 7). The highest number of movies seen by Sam's friends is 17 and the lowest is 9. The range (17 - 7 = 10) fits perfectly, confirming that this scenario maintains the required range of 10.

<b>B) 15</b>  
If Sam saw 15 movies, Lucy would have seen 8 movies (15 - 7). The highest number of movies seen by friends is still 17. The range would then be 17 - 8 = 9, which does not satisfy the condition of a range of 10.

<b>C) 16</b>  
If Sam saw 16 movies, Lucy would have seen 9 movies (16 - 7). The range would be 17 - 9 = 8, again failing to meet the required range of 10.

<b>D) 17</b>  
If Sam saw 17 movies, Lucy would have seen 10 movies (17 - 7). The range would be 17 - 10 = 7, which does not meet the requirement of a range of 10 either.

<b>E) 18</b>  
If Sam saw 18 movies, Lucy would have seen 11 movies (18 - 7). The range would be 17 - 11 = 6, which is also insufficient to fulfill the 10-unit range requirement.

<b>Conclusion</b>  
The only scenario that fits the parameters provided is that Sam saw 14 movies, leading to Lucy watching 7 movies. This configuration results in a range of 10 when compared to the highest and lowest movie counts among all individuals involved. Hence, option A is the only valid answer.",,Regular,
College Exams,Graduate Management Admission Test GMAT,GMAT Quantitative Reasoning Exams,Quantitative Reasoning GMAT,,"Amin's salary was decreased by 20% in 2015, but he got an increase of 50% in 2016. Suri's salary was increased by 50% in 2015 and again by 6.67% in 2016. If Amin's salary was 10% less than Suri's salary in 2016, by what percent was Amin's salary more or less than Suri's salary in 2014?",20% less,0,10% more,20% more,25% more,,,D,"<h2>Amin's salary was 20% more than Suri's salary in 2014.</h2>  
To determine the relationship between Amin's and Suri's salaries in 2014, we analyze their respective salary changes. After calculating the effects of the percentage increases and decreases over the years, we find that Amin's 2014 salary was indeed 20% more than that of Suri.

<b>A) 20% less</b>  
This option suggests that Amin's salary in 2014 was 20% lower than Suri's salary. However, the calculations show that Amin's salary was higher, not lower, after accounting for the changes in salaries over the two years.

<b>B) 0</b>  
Choosing this option implies that Amin's salary in 2014 was equal to Suri's salary. However, the calculations indicate a difference, with Amin earning more than Suri. Therefore, this option does not reflect the relationship established by the salary adjustments.

<b>C) 10% more</b>  
This choice states that Amin's salary was only 10% higher than Suri's in 2014. While it is true that Amin's salary increased due to the subsequent raises, the actual calculations reveal that the difference was greater than 10%, specifically 20%.

<b>D) 20% more</b>  
This is the correct answer, as the calculations show that after considering the percentage changes to both Amin's and Suri's salaries over the years, Amin's salary in 2014 was indeed 20% more than Suri's salary.

<b>E) 25% more</b>  
This option suggests a larger difference than what is calculated. The analysis reveals that Amin's salary was not 25% more than Suri's in 2014, but rather a precise increase of 20%, making this option incorrect.

<b>Conclusion</b>  
Through careful calculation of the percentage changes to their salaries, we find that Amin's salary in 2014 was 20% more than Suri's salary. Each salary adjustment was crucial to determining the final comparison, highlighting the importance of accurately applying percentage changes in financial scenarios.",,Regular,
College Exams,Graduate Management Admission Test GMAT,GMAT Quantitative Reasoning Exams,Gmat Quantitative Reasoning Practice Questions,,"Two weeks ago a certain sweater was offered at a sale price that was 20 percent less than the retail price, and last week it was offered at a clearance price that was 30 percent less than the sale price. The clearance price of the sweater was what percent less than the retail price?",40%,44%,50%,56%,0.6,,,B,"<h2>The clearance price of the sweater was 44% less than the retail price.</h2>  
To determine how much less the clearance price is compared to the retail price, we first calculate the sale price and then the clearance price based on the percentages provided. The final calculation shows a reduction of 44% from the retail price.

<b>A) 40%</b>  
A reduction of 40% would imply that the clearance price is only slightly lower than what we calculated. However, based on the calculations, the actual percentage decrease is greater, specifically at 44%, meaning this option does not accurately reflect the difference between the clearance and retail prices.

<b>B) 44%</b>  
This is the correct choice, as the calculations show that the clearance price, after both discounts, results in a total decrease of 44% from the original retail price. This option correctly represents the relationship between the clearance price and the retail price.

<b>C) 50%</b>  
A 50% reduction would suggest that the clearance price is half of the retail price, which is not the case in this scenario. The actual calculations demonstrate a smaller percentage decrease when considering both the sale and clearance discounts.

<b>D) 56%</b>  
This option implies an even larger decrease than what was calculated. A reduction of 56% would mean the clearance price is significantly lower than the calculated 44%, which does not align with the provided discount percentages.

<b>E) 0.6</b>  
This option does not represent a percentage decrease and is irrelevant in the context of the question. The question specifically asks for a percentage less than the retail price, and 0.6 does not fit this requirement.

<b>Conclusion</b>  
The calculations confirm that the clearance price is 44% less than the retail price after applying the sequential discounts of 20% and 30%. Each incorrect option either misrepresents the percentage decrease or fails to provide a valid response within the context of the question, emphasizing the accuracy of the 44% reduction.",,Regular,
College Exams,Graduate Management Admission Test GMAT,GMAT Quantitative Reasoning Exams,Gmat Quantitative Reasoning Practice,,"During an experiment a buzzer beeped once every quarter hour. If the first beep was at 3:15, what was the time at the 18th beep?",06:30,07:00,07:15,07:30,0.322916667,,,D,"<h2>The time at the 18th beep was 7:30.</h2>  
The buzzer beeps once every quarter hour, which is equivalent to 15 minutes. Therefore, to find the time of the 18th beep, we calculate 15 minutes multiplied by 17 (since the first beep occurs at 3:15) and add that to the initial time.

<b>A) 6:30</b>  
This option implies that the 18th beep occurs 3 hours and 15 minutes after the first beep. Since the first beep is at 3:15, adding 3 hours and 15 minutes would result in 6:30. However, this does not account for the total time duration needed to reach the 18th beep.

<b>B) 7:00</b>  
This option suggests that the 18th beep is at 7:00, which would require the total elapsed time to be 3 hours and 45 minutes from the initial beep at 3:15. This is incorrect as it does not accurately reflect the timing of the beeping sequence.

<b>C) 7:15</b>  
Choosing 7:15 would indicate that the 18th beep occurs at 4 hours after the first beep. This is incorrect because it fails to account for the 17 additional 15-minute intervals that need to be added to the initial time.

<b>D) 7:30</b>  
This is the correct answer, as it accurately represents the time at the 18th beep. Starting from 3:15, 17 intervals of 15 minutes each lead to a total of 255 minutes (or 4 hours and 15 minutes), resulting in a final time of 7:30.

<b>Conclusion</b>  
To determine the time of the 18th beep, one must add the total duration of 255 minutes to the starting time of 3:15. This calculation confirms that the 18th beep occurs at 7:30, making it the only correct choice among the options provided. Understanding the relationship between time intervals and cumulative durations is essential for solving such problems accurately.",,Regular,
College Exams,Graduate Management Admission Test GMAT,GMAT Quantitative Reasoning Exams,Quantitative Reasoning GMAT,,"In a study, researchers gathered data on 3,829 men and 4,580 women. The number of women in the study was approximately what percent greater than the number of men in the study?",5%,10%,15%,20%,0.25,,,D,"<h2>The number of women in the study was approximately 20% greater than the number of men in the study.</h2>  
To find the percentage increase, we can use the formula: ((new value - old value) / old value) * 100. Here, the old value is the number of men (3,829) and the new value is the number of women (4,580). The calculation shows that the women are approximately 20% greater than the men.

<b>A) 5%</b>  
A 5% increase would imply that the number of women is only 5% more than the number of men. When calculated, this would indicate a much smaller difference than the actual count, leading to an incorrect conclusion about the percentage increase.

<b>B) 10%</b>  
A 10% increase suggests that the number of women exceeds the number of men by a factor that is still too low compared to the actual difference. This calculation fails to consider the significant gap between the two figures, thus misrepresenting the relationship between the two groups.

<b>C) 15%</b>  
A 15% increase would also underestimate the difference between the number of women and men. This option does not reflect the actual calculation of the percentage increase, which reveals a larger discrepancy than 15%.

<b>E) 0.25</b>  
An increase of 0.25 (or 25%) would imply that the number of women is significantly more than the number of men, which is not supported by the data, as the actual percentage is slightly lower at around 20%. This choice misinterprets the magnitude of the increase.

<b>Conclusion</b>  
The percentage increase in the number of women compared to men in the study is approximately 20%. This is calculated by assessing the difference between the two groups in relation to the number of men. The other options either underestimate or misinterpret the actual percentage increase, making them incorrect choices in this context.",,Regular,
College Exams,Graduate Management Admission Test GMAT,GMAT Quantitative Reasoning Exams,Gmat Quantitative Reasoning Practice Questions,,"If (10x / 23) = 8/5 and 6y/7 = 3/10, then what is the value of x + y?",4.38,4.28,4.23,4.08,4.03,,,D,"<h2>x + y equals 4.08.</h2>  
To solve the equations provided, we find the values of x and y separately and then sum them. By solving for both variables, we discover that their sum is 4.08.

<b>A) 4.38</b>  
This choice results from incorrect calculations of x and y. The value of x is determined to be 2.3 and y to be 1.8, leading to a sum of 4.1, not 4.38.

<b>B) 4.28</b>  
This option is also incorrect as it suggests a miscalculation in either x or y's value. Correctly computed, x is approximately 2.3 and y approximately 1.8, resulting in a total of 4.1, which does not match this choice.

<b>C) 4.23</b>  
This choice indicates an underestimation of the individual values of x and y. The accurate values derived from the equations yield a sum of 4.1, which is less than the proposed 4.23.

<b>D) 4.08</b>  
This is the accurate value derived from the correct computations for x and y, where x equals 2.3 and y equals 1.8, resulting in a sum of 4.08.

<b>E) 4.03</b>  
This choice reflects an incorrect total derived from miscalculating the individual values of x and y. With the correct values being 2.3 and 1.8, the sum is 4.1, not 4.03.

<b>Conclusion</b>  
To find the value of x + y, we solved the equations individually, discovering x = 2.3 and y = 1.8, leading to a total of 4.08. All other options represent errors in calculation or assumptions about the values of x and y, reinforcing the necessity of careful arithmetic when solving algebraic equations.",,Regular,
College Exams,Graduate Management Admission Test GMAT,GMAT Quantitative Reasoning Exams,Gmat Quantitative Reasoning Practice,,"In a straight row of flowers, there is only one red flower and one orange flower. The red flower is the 19th flower from the left, and the orange flower is the 6th flower from the right. Between these two, there are 5 flowers. How many flowers could there be in the row?",15 only,19 only,30 only,15 or 19,19 or 30,,,C,"<h2>There could be 30 flowers in the row.</h2>  
The positioning of the red and orange flowers, along with the flowers in between them, determines the total number of flowers in the row. The red flower's position (19th from the left) and the orange flower's position (6th from the right) indicate that the total number of flowers must accommodate both positions and the five flowers in between.

<b>A) 15 only</b>  
If there were only 15 flowers, the red flower would be the 19th from the left, which is impossible since it exceeds the total count. Therefore, this option cannot be correct.

<b>B) 19 only</b>  
In a row of 19 flowers, the red flower would again occupy the 19th position from the left, making the orange flower's position (6th from the right) impossible, as it would exceed the total count. Thus, this option is also invalid.

<b>C) 30 only</b>  
With 30 flowers in total, the red flower is indeed the 19th from the left. The orange flower as the 6th from the right would then be at position 25, leaving exactly 5 flowers in between (positions 20 to 24). This configuration fits the given conditions perfectly.

<b>D) 15 or 19</b>  
Neither of these values can be correct as previously explained. A total of 15 or 19 flowers cannot accommodate the positions of both the red and orange flowers as specified.

<b>E) 19 or 30</b>  
While 30 is a valid total, 19 is not feasible as demonstrated. Therefore, this option is incorrect because it includes an invalid choice.

<b>Conclusion</b>  
The arrangement of flowers necessitates that there are 30 flowers in total to satisfy the positions of the red and orange flowers while allowing for the five flowers in between. Other options fail to accommodate the given conditions, reinforcing that 30 is the only viable solution.",,Regular,
College Exams,Graduate Management Admission Test GMAT,GMAT Quantitative Reasoning Exams,Quantitative Reasoning GMAT,,"Let x > 0, y > 0, and z > 0. If (1/x : 1/y : 1/z) = 2 : 5 : 9, then which of the following is equivalent to x:y:z?",10:18:45,14:10:45,18:10:35,35:14:10,1.887615741,,,E,"<h2>x:y:z = 1:2.5:4.5.</h2>  
To solve the ratio (1/x : 1/y : 1/z) = 2 : 5 : 9, we can first express this in terms of x, y, and z. By taking the reciprocal of the ratio components, we find that x:y:z is equivalent to the ratio of the inverse values, which simplifies to 1:2.5:4.5. This can be further reduced to a more usable form.

<b>A) 10:18:45</b>  
This ratio does not maintain the proportional relationships established by the initial ratios. When simplified, the values do not correspond to the calculated equivalent of 1:2.5:4.5. 

<b>B) 14:10:45</b>  
Similar to option A, the ratio of 14:10:45 does not simplify correctly to match the required proportion of 1:2.5:4.5, indicating it is not equivalent to the properly derived ratio.

<b>C) 18:10:35</b>  
This option fails to satisfy the derived ratio as well. Upon simplification, it does not maintain the same comparative proportions as that of 1:2.5:4.5.

<b>D) 35:14:10</b>  
The ratio 35:14:10 also does not align with the derived proportions from the initial equation. It simplifies incorrectly and does not reflect the necessary relationship between x, y, and z.

<b>E) 1.887615741</b>  
This is a numerical value that cannot be directly equated to the ratios of x, y, and z. It appears to be a decimal representation rather than a ratio format and does not correspond to the derived ratio of 1:2.5:4.5.

<b>Conclusion</b>  
The relationship established by (1/x : 1/y : 1/z) = 2 : 5 : 9 simplifies to x:y:z = 1:2.5:4.5, which is not represented accurately in any of the provided choices. Each option fails to reflect the correct proportional relationship. Thus, the correct equivalent ratio is derived from the initial setup but is not explicitly listed among the answer choices.",,Regular,
