classification,category,Exams,Exam Name,Extract Text,Question Text,Choice A,Choice B,Choice C,Choice D,Choice E,Choice F,Choice G,Correct Answer,Rationale,Image URL,Question Type,Heading
High School Exams,HiSET,HiSET Math,Free HiSET Practice Test Math,,What are the solutions to the equation x²-10?,±5,±√(10),±10,±10²,±20,,,B,"<h2>±√10 are the solutions to the equation x² - 10.</h2>  
To find the solutions for the equation x² - 10 = 0, we can rearrange it to x² = 10. Taking the square root of both sides gives us x = ±√10, which are the correct solutions.

<b>A) ±5</b>  
The value ±5 would imply that 5² = 25, which does not satisfy the original equation x² - 10 = 0. Therefore, this choice does not represent the correct solutions since it does not yield the necessary result when squared.

<b>B) ±√(10)</b>  
This choice is correct because when we resolve the equation x² - 10 = 0, we find that x² = 10. Taking the square root of both sides yields x = ±√10, which are indeed the solutions to the equation.

<b>C) ±10</b>  
The value ±10 would imply that 10² = 100, which is not a solution to the equation x² - 10 = 0. As a result, this choice fails to satisfy the equation, making it an incorrect answer.

<b>D) ±10²</b>  
This choice simplifies to ±100, as 10² equals 100. Since 100 does not satisfy the equation x² - 10 = 0, this option is incorrect and does not represent the correct solutions.

<b>E) ±20</b>  
The value ±20 would imply that 20² = 400, which is also not a solution to the equation x² - 10 = 0. Therefore, this choice does not solve the equation and is incorrect.

<b>Conclusion</b>  
The solutions to the equation x² - 10 = 0 are found by taking the square root of 10, resulting in ±√10. Each of the other choices fails to satisfy the equation when squared, confirming that they are not valid solutions. Thus, ±√10 stands as the only correct answer in this context.",,Regular,
High School Exams,HiSET,HiSET Math,Free HiSET Practice Test Math,,"Mallory loaded 200 digital pictures into a digital picture frame. 78 are pictures of family members, 26 are pictures of pets, the rest are pictures of friends. The frame displays one picture every 10 seconds. Which value is closest to the probability that the next picture the frame displays will be a picture of a friend?",0.33,0.43,0.48,0.52,0.96,,,C,"<h2>Jasmine will take 104 minutes to run the 13-mile race.</h2>
Since Jasmine's pace for the 3-mile race is 1 minute per mile faster than for the 13-mile race, we can calculate her pace for the 13-mile race by adding 1 minute to her pace for the 3-mile race. If she ran the 3-mile race in 21 minutes, her pace is 7 minutes per mile. Therefore, for the 13-mile race, she would take 91 minutes (13 miles x 7 minutes/mile). 

<b>A) 34</b>
This is not the correct answer. Jasmine's pace is 7 minutes per mile for the 13-mile race, so the total time taken to run the 13-mile race would be more than 34 minutes.

<b>B) 78</b>
This is not the correct answer. Jasmine's pace for the 13-mile race is 7 minutes per mile, so the total time taken to run the 13-mile race would be more than 78 minutes.

<b>C) 92</b>
This is not the correct answer. Jasmine's pace for the 13-mile race is 7 minutes per mile, so the total time taken to run the 13-mile race would be more than 92 minutes.

<b>D) 101</b>
This is not the correct answer. Jasmine's pace for the 13-mile race is 7 minutes per mile, so the total time taken to run the 13-mile race would be more than 101 minutes.

<b>E) 104</b>
This is the correct answer. Jasmine will take 104 minutes to run the 13-mile race, given her pace of 7 minutes per mile.

<b>Conclusion</b>
By understanding Jasmine's pace for the 3-mile race and the relationship with her pace for the 13-mile race, we can calculate that it will take her 104 minutes to complete the 13-mile race at a pace of 7 minutes per mile.",,Regular,
High School Exams,HiSET,HiSET Math,Free HiSET Practice Test Math,,"Which of the following intervals most likely represents the average gas mileage, in miles per gallon, of 50% of the cars?",20 to 32,24 to 32,29 to 32,30 to 44,32 to 44,,,B,"<h2>Value of x is 32.</h2>
The value of x is determined to be 32 based on the given context or equation.

<b>A) 7</b>
This choice does not align with the correct value of x, which has been established as 32 in the context provided.

<b>B) 13</b>
The value of x is not 13 in this scenario. Choosing 13 as the answer does not correspond with the correct calculation or solution.

<b>C) 22</b>
Option 22 does not represent the value of x as indicated by the correct answer of 32 in the given context or equation.

<b>D) 32</b>
This choice correctly identifies the value of x as 32 based on the information provided in the question.

<b>E) 58</b>
The value of x is not 58 according to the context or equation provided. Selecting 58 does not match the correct solution for x.

<b>Conclusion</b>
In the given question, the value of x is explicitly determined to be 32. This conclusion is reached through the specific details or calculations presented, leading to the selection of option D as the correct answer. Other choices such as 7, 13, 22, and 58 do not correspond with the established value for x and are therefore incorrect in this context.",gallon.jpg,Regular,
High School Exams,HiSET,HiSET Math,Free HiSET Practice Test Math,Connor sprinted 55 yards in 6.25 seconds. ,"Emma measured the height of her laptop screen. She reported the height as 8 inches, accurate to the nearest inch. The actual height of the screen must be",at least 7.5 inches and less than 8.5 inches.,at least 7.9 inches and less than 8.1 inches.,at least 7.99 inches and less than 8.01 inches.,at least 8 inches,exactly 8 inches.,,,A,"<h2>Connor's average speed was 18 miles per hour.</h2>  
To find Connor's average speed, we convert the distance he sprinted from yards to miles and the time from seconds to hours. Connor covered 55 yards in 6.25 seconds, which calculates to an average speed of 18 miles per hour when properly converted.  

<b>A) 6</b>  
An average speed of 6 miles per hour is calculated incorrectly and significantly underestimates Connor's actual performance. Converting the distance and time shows that the speed is much higher than this value.  

<b>B) 9</b>  
An average speed of 9 miles per hour also reflects a misunderstanding of the conversions needed. The calculations reveal a speed greater than 9 mph, making this choice incorrect as well.  

<b>C) 15</b>  
While 15 miles per hour is closer to the average speed, it still does not accurately reflect Connor's calculated speed of 18 miles per hour. This choice underestimates his actual performance over the given distance and time.  

<b>D) 18</b>  
This choice correctly represents Connor's average speed, calculated by converting the distance from yards to miles and the time from seconds to hours. Connor's speed of 18 miles per hour accurately reflects his sprinting capability.  

<b>E) 26</b>  
An average speed of 26 miles per hour is too high given the distance and time provided. This figure does not align with the calculations derived from the conversions of yards and seconds, making it an incorrect option.  

<b>Conclusion</b>  
Connor's average speed of 18 miles per hour is derived from a correct conversion of his sprinting distance and time. The other options miscalculate or misinterpret these conversions, leading to inaccurate estimations of his performance. Understanding these conversions is crucial for accurately determining average speed in various contexts.",,Regular,
High School Exams,HiSET,HiSET Math,Free HiSET Practice Test Math,,"Which of the following expressions is equivalent to 1,200(5 * 10^7)?",1.2 * 10^10,6 * 10^10,6 * 10^31,7.2 * 10^13,9.4 * 10^34,,,B,"<h2>1.70% is the closest value to the percentage of North Dakota's total area that is covered with water.</h2>  
Approximately 1.70% of North Dakota's area is covered by water, which includes lakes, rivers, and other bodies of water, making this choice the most accurate representation of the state's water coverage.

<b>A) 0.02%</b>  
This figure is significantly lower than the actual percentage of water coverage in North Dakota. Such a small percentage would imply an almost negligible amount of water bodies, which does not reflect the state's numerous lakes and rivers.

<b>B) 0.43%</b>  
While this value is closer than option A, it still underestimates the actual water coverage in North Dakota. The state has substantial water bodies, and this percentage fails to account for that significant presence.

<b>D) 2.40%</b>  
This option slightly overestimates the water coverage in North Dakota. Although it indicates a more considerable water presence than the lower choices, it exceeds the actual percentage, which is around 1.70%.

<b>E) 24%</b>  
This value is vastly exaggerated and does not accurately represent North Dakota's water coverage. A percentage this high would imply extensive water coverage that far exceeds the reality of the state's topography.

<b>Conclusion</b>  
In summary, the percentage of North Dakota's area covered by water is closest to 1.70%, making option C the correct choice. The other options either underestimate or overestimate the actual water coverage, highlighting the importance of accurate geographical data in assessing state characteristics.",,Regular,
High School Exams,HiSET,HiSET Math,Free HiSET Practice Test Math,,How many solutions does the equation 3x + 9 = 3x - 12 have?,0,1,2,3,Infinitely many,,,A,"<h2>20xµ</h2>
When multiplying two terms with the same base, you add the exponents. In this case, (4x²)(5x³) results in 4*5*x^(2+3) = 20xµ.

<b>A) 9xµ</b>
This expression does not correctly simplify the multiplication of (4x²)(5x³). The exponent should be 5, not 9.

<b>B) 9x¶</b>
This answer is not the result of multiplying (4x²)(5x³). The exponents of x should add up to 5, not 6.

<b>C) 20xµ</b>
Correct! Multiplying (4x²)(5x³) gives 20xµ by adding the exponents of x.

<b>D) 20x¶</b>
This choice incorrectly simplifies the multiplication of (4x²)(5x³). The exponent should be 5, not 6.

<b>E) 20x¹</b>
This expression does not represent the correct result of multiplying (4x²)(5x³). The exponent should be 5, not 9.

<b>Conclusion</b>
The correct expression equivalent to (4x²)(5x³) is 20xµ, as per the rules of multiplying terms with the same base. Option C provides the accurate simplification where the exponents are added, resulting in a final exponent of 5.",,Regular,
High School Exams,HiSET,HiSET Math,Free HiSET Practice Test Math,,In which step does Paul's work include a mistake?,Step 1,Step 2,Step 3,Step 4,Step 5,,,B,"<h2>0</h2>
The equation 3x + 9 = 3x - 12 simplifies to 9 = -12, which is a contradiction. This means there are no values of x that satisfy the equation, leading to zero solutions.

<b>A) 0</b>
As explained above, the given equation results in a contradiction, indicating no solution exists that satisfies the equality.

<b>B) 1</b>
If the equation had one solution, it would imply that both sides are equal for a specific value of x. However, in this case, the equation leads to a mathematical inconsistency, ruling out the possibility of a single solution.

<b>C) 2</b>
Having two solutions would mean there are two distinct values of x that satisfy the equation. Yet, due to the contradiction in the equation, there are no valid solutions, making the count of solutions zero.

<b>D) 3</b>
With three solutions, the equation would need to support three distinct values of x that make it true. Since the equation cannot be balanced for any x value, the notion of having three solutions is invalid.

<b>E) Infinitely many</b>
In cases where equations are identities or have the same expression on both sides, there can be infinitely many solutions. However, when the equation leads to a logical contradiction like 9 = -12, the number of solutions is zero.

<b>Conclusion</b>
The equation 3x + 9 = 3x - 12 has no solutions due to the resulting contradiction. This outcome arises from the impossibility of finding a value for x that would satisfy the equation's equality, making the solution count precisely zero.",,Regular,
High School Exams,HiSET,HiSET Math,Free HiSET Practice Test Math,"Selected Court Cases in United States History
Commonwealth v. Hunt (1842)
1 In the 1790s workers began forming unions to bargain collectively with employers for higher wages and other benefits. Employers generally resisted these efforts. This decision, handed down by the Massachusetts Supreme Judicial Court, strengthened the union movement by ruling that workers had the right to form a union and that doing so did not constitute a criminal conspiracy against their employer.
Muller v. Oregon (1908)
2 In the early 1900s, Progressive reformers in Oregon overcame business apposition and helped to pass a law protecting working women. The law prohibited businesses from requiring women to work for more than ten hours a day. The U.S. Supreme Court supported these Progressive reformers by declaring that the law was constitutional.
Schenck v. United States (1919)
3 After the United States entered World War I, Congress passed the Espionage Act of 1917 to punish antiwar behavior and ben antiwar materials from the mail, It also passed the Sedition Act of 1918, which outlawed speech, writing, and behavior that the government deemed dangerous to the war effort. Charles Schenck was convicted of mailing antiwar pamphlets that urged men to seek repeal of the Conscription Act. The U.S. Supreme Court upheld his conviction, ruling that the First Amendment's right to free speech did not include speech that was ""a clear and present danger to the safety of the country."" ","Which of the following equations represents the relationship between an item's purchase price, s dollars, and the amount, a dollars, of each monthly payment under this offer?",s = (a - 50)/12,s = a/12 - 50,s = 12a + 50,s = 12a - 50,s = 12(a + 50),,,C,"<h2>Schenck v. United States and Engel v. Vitale</h2>
Schenck v. United States (1919) and Engel v. Vitale (1962) are the pair of cases that specifically address First Amendment rights, albeit in different contexts. Schenck v. United States dealt with limitations on free speech during wartime, establishing the precedent that certain expressions could be restricted if they posed a clear and present danger to national security. In contrast, Engel v. Vitale focused on the separation of church and state, ruling that state-sponsored prayer in public schools violated the Establishment Clause of the First Amendment.

<b>A) Commonwealth v. Hunt and Brown v. Board of Education</b>
Commonwealth v. Hunt (1842) primarily concerned labor rights and the legality of forming unions, not First Amendment issues related to freedom of speech or religion. Brown v. Board of Education (1954) was a landmark case addressing racial segregation in schools, falling under the Equal Protection Clause of the Fourteenth Amendment rather than the First Amendment.

<b>B) Muller v. Oregon and Schenck v. United States</b>
Muller v. Oregon (1908) focused on labor laws and protections for working women, specifically regarding working hours, and did not involve First Amendment considerations. Schenck v. United States, on the other hand, centered on free speech restrictions during wartime, making it the correct choice for First Amendment rights.

<b>C) Schenck v. United States and Engel v. Vitale</b>
As discussed earlier, Schenck v. United States addressed free speech limitations during wartime, while Engel v. Vitale dealt with religious freedom and the separation of church and state within public education€”both crucial aspects of First Amendment protections.

<b>D) Brown v. Board of Education and Engel v. Vitale</b>
Brown v. Board of Education focused on desegregation and equal educational opportunities for all races, emphasizing the Equal Protection Clause rather than First Amendment rights. Engel v. Vitale specifically tackled the issue of state-sponsored prayer in schools, falling under the Establishment Clause of the First Amendment.

<b>Conclusion</b>
Understanding the specific legal contexts of landmark cases is essential to discerning their constitutional implications accurately. In the case of First Amendment rights, Schenck v. United States and Engel v. Vitale stand out as pivotal decisions that shaped the interpretation and application of free speech and religious freedom within the United States legal system.",,Regular,
High School Exams,HiSET,HiSET Math,Free HiSET Practice Test Math,,Which statement correctly identifies and describes the slope of the equation?,"The slope of the equation is 1.88, and it represents the femur length, in inches, when the height is 32 inches.","The slope of the equation is 1.88, and it represents the number of inches the height increases for each inch the femur length increases.","The slope of the equation is 1.88, and it represents the number of inches the femur length increases for each inch the height increases.","The slope of the equation is 32, and it represents the number of inches the height increases for each inch the femur length increases.","The slope of the equation is 32, and it represents the height, in inches, when the femur length is 1.88 inches.",,,B,"<h2>The graphs will not intersect.</h2>  
The functions f(x) = x and g(x) = 3^x represent a linear function and an exponential function, respectively. As x increases, the exponential function grows much faster than the linear function, meaning they will not intersect at any point other than at the origin, which is not true here as the exponential function stays above the linear function after x=0.

<b>A) The graphs will not intersect.</b>  
This statement is accurate because the linear function f(x) = x has a constant slope of 1, while the exponential function g(x) = 3^x increases at an accelerating rate for all x > 0. Therefore, beyond the y-intercept, the two graphs diverge, confirming no intersection points exist other than potentially at the origin, which does not satisfy the conditions of the other choices.

<b>B) The graphs will intersect only at the point (0, 0).</b>  
While f(0) = 0 and g(0) = 1, this choice incorrectly suggests they intersect at (0, 0). In reality, the point (0, 0) lies on f(x) only and not on g(x), which actually equals 1 at x = 0. Thus, this statement is false.

<b>C) The graphs will intersect only at the point (0, 1).</b>  
This choice is also incorrect because at x = 0, g(0) = 1, but f(0) = 0. There is no intersection point at (0, 1) since f(x) does not reach this value at x = 0.

<b>D) The graphs will intersect only at the point (1, 1).</b>  
At x = 1, f(1) = 1 and g(1) = 3, meaning they do not share this point either. This choice is incorrect as it misrepresents the intersection criteria by suggesting a point where they do not meet.

<b>E) The graphs will intersect only at the point (3, 3).</b>  
For x = 3, f(3) = 3 and g(3) = 27, which confirms that they do not intersect at this point. This option is false as the exponential function has outpaced the linear function by this x-value.

<b>Conclusion</b>  
In summary, the graphs of f(x) = x and g(x) = 3^x do not intersect at any point. The exponential function grows significantly faster than the linear function after the origin, leading to a divergence instead of convergence. The only point where f(x) and g(x) could meet is at (0, 0), but since g(0) equals 1, they do not overlap, affirming that the correct statement is that the graphs will not intersect.",,Regular,
High School Exams,HiSET,HiSET Math,Free HiSET Practice Test Math,,"The number of years the employee has been employed by the city is at least 25 years. The sum of the employee's age and number of years employed by the city is at least 90 years. Larry has been employed by the city since his 38th birthday. Assuming he continues to work for the city, at what age will he first qualify for full retirement benefits?",52,55,62,63,64,,,E,"<h2>The area, in square meters, of the circle is closest to 502700.</h2>
The area of a circle is calculated using the formula A = Ï€r^2, where r is the radius. With a radius of approximately 400 meters, the area can be estimated by substituting this value into the formula and computing the result, which is closest to 502700 square meters.

<b>A) 1300</b>
This value is significantly smaller than the area of the circle with a radius of 400 meters. A circle with such a small area would correspond to a much smaller radius, making this choice incorrect.

<b>B) 2500</b>
While larger than 1300, this value is still far below the estimated area of the circle with a radius of 400 meters. A circle of this size would have a much greater area than 2500 square meters, rendering this choice incorrect.

<b>C) 160000</b>
This value is considerably larger than the estimated area of the circle with a radius of 400 meters. A circle of this size would correspond to a much larger radius than 400 meters, making this choice incorrect.

<b>D) 502700</b>
This is the correct answer. With a radius of about 400 meters, the area closest to the circle can be calculated as approximately 502700 square meters using the formula A = Ï€r^2.

<b>E) 1579100</b>
This value is significantly larger than the estimated area of the circle with a radius of 400 meters. A circle of this size would correspond to a radius much greater than 400 meters, making this choice incorrect.

<b>Conclusion</b>
By applying the formula for the area of a circle, the closest estimated area for a circle with a radius of about 400 meters is approximately 502700 square meters. This calculation demonstrates the relationship between the radius of a circle and its resulting area, highlighting the importance of understanding basic geometric principles in practical applications like irrigation system design and land management.",,Regular,
